Adobe After Effects 6.0 Keyframe Data

	Units Per Second	23.976
	Source Width	704
	Source Height	396
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Anchor Point
	Frame	X pixels	Y pixels	Z pixels
	0	352.977	457.421	0
	1	352.974	454.001	0
	2	352.974	450.589	0
	3	352.967	447.185	0
	4	352.988	443.761	0
	5	352.973	440.376	0
	6	352.982	436.967	0
	7	353.003	433.573	0
	8	352.989	430.18	0
	9	353.007	426.743	0
	10	352.993	423.401	0
	11	352.987	420.01	0
	12	352.992	416.556	0
	13	352.992	413.198	0
	14	353.001	409.771	0
	15	353.015	406.376	0
	16	353.004	402.989	0
	17	353.013	399.56	0
	18	353.012	396.145	0
	19	353.004	392.735	0
	20	352.999	389.328	0
	21	352.988	385.921	0
	22	352.98	382.513	0
	23	352.975	379.121	0
	24	352.971	375.669	0
	25	352.964	372.295	0
	26	352.972	368.903	0
	27	352.967	365.458	0
	28	352.974	362.085	0
	29	352.963	358.655	0
	30	352.957	355.253	0
	31	352.964	351.867	0
	32	352.965	348.422	0
	33	352.972	345.037	0
	34	352.976	341.622	0
	35	352.982	338.223	0
	36	352.983	334.807	0
	37	352.987	331.392	0
	38	352.987	328	0
	39	352.988	324.564	0
	40	352.99	321.162	0
	41	352.988	317.777	0
	42	352.99	314.335	0
	43	352.989	310.958	0
	44	352.99	307.509	0
	45	352.996	304.123	0
	46	352.989	300.74	0
	47	352.992	297.293	0
	48	352.985	293.885	0
	49	352.989	290.475	0
	50	352.995	287.09	0
	51	352.987	283.669	0
	52	352.987	280.242	0
	53	352.991	276.849	0
	54	352.997	273.419	0
	55	352.994	270.027	0
	56	353.001	266.623	0
	57	352.996	263.184	0
	58	352.996	259.815	0
	59	352.994	256.363	0
	60	352.994	252.946	0
	61	352.993	249.558	0
	62	352.998	246.138	0
	63	352.995	242.727	0
	64	352.989	239.294	0
	65	352.992	235.903	0
	66	352.991	232.503	0
	67	352.993	229.08	0
	68	352.999	225.673	0
	69	353.002	222.25	0
	70	352.996	218.858	0
	71	352.999	215.453	0
	72	353.001	211.999	0
	73	353.003	208.624	0
	74	352.999	205.194	0
	75	353.004	201.785	0
	76	353.008	198.399	0
	77	353.013	194.962	0
	78	353.019	191.57	0
	79	353.02	188.139	0
	80	353.024	184.743	0
	81	353.031	181.332	0
	82	353.035	177.925	0
	83	353.038	174.519	0
	84	353.042	171.068	0
	85	353.049	167.689	0
	86	353.051	164.297	0
	87	353.047	160.851	0
	88	353.051	157.475	0
	89	353.051	154.038	0
	90	353.055	150.628	0
	91	353.055	147.24	0
	92	353.061	143.797	0
	93	353.068	140.416	0
	94	353.069	137.001	0
	95	353.077	133.597	0
	96	353.083	130.179	0
	97	353.083	126.773	0
	98	353.078	123.387	0
	99	353.087	119.946	0
	100	353.08	116.561	0
	101	353.083	113.16	0
	102	353.076	109.73	0
	103	353.081	106.344	0
	104	353.087	102.898	0
	105	353.089	99.5139	0
	106	353.082	96.1313	0
	107	353.079	92.6897	0
	108	353.085	89.2856	0
	109	353.079	85.8733	0
	110	353.079	82.4862	0
	111	353.077	79.0587	0
	112	353.073	75.635	0
	113	353.065	72.2569	0
	114	353.065	68.8177	0
	115	353.07	65.4287	0
	116	353.077	62.0219	0
	117	353.083	58.5868	0
	118	353.089	55.2176	0

Position
	Frame	X pixels	Y pixels	Z pixels
	0	352.977	457.421	0
	1	352.974	454.001	0
	2	352.974	450.589	0
	3	352.967	447.185	0
	4	352.988	443.761	0
	5	352.973	440.376	0
	6	352.982	436.967	0
	7	353.003	433.573	0
	8	352.989	430.18	0
	9	353.007	426.743	0
	10	352.993	423.401	0
	11	352.987	420.01	0
	12	352.992	416.556	0
	13	352.992	413.198	0
	14	353.001	409.771	0
	15	353.015	406.376	0
	16	353.004	402.989	0
	17	353.013	399.56	0
	18	353.012	396.145	0
	19	353.004	392.735	0
	20	352.999	389.328	0
	21	352.988	385.921	0
	22	352.98	382.513	0
	23	352.975	379.121	0
	24	352.971	375.669	0
	25	352.964	372.295	0
	26	352.972	368.903	0
	27	352.967	365.458	0
	28	352.974	362.085	0
	29	352.963	358.655	0
	30	352.957	355.253	0
	31	352.964	351.867	0
	32	352.965	348.422	0
	33	352.972	345.037	0
	34	352.976	341.622	0
	35	352.982	338.223	0
	36	352.983	334.807	0
	37	352.987	331.392	0
	38	352.987	328	0
	39	352.988	324.564	0
	40	352.99	321.162	0
	41	352.988	317.777	0
	42	352.99	314.335	0
	43	352.989	310.958	0
	44	352.99	307.509	0
	45	352.996	304.123	0
	46	352.989	300.74	0
	47	352.992	297.293	0
	48	352.985	293.885	0
	49	352.989	290.475	0
	50	352.995	287.09	0
	51	352.987	283.669	0
	52	352.987	280.242	0
	53	352.991	276.849	0
	54	352.997	273.419	0
	55	352.994	270.027	0
	56	353.001	266.623	0
	57	352.996	263.184	0
	58	352.996	259.815	0
	59	352.994	256.363	0
	60	352.994	252.946	0
	61	352.993	249.558	0
	62	352.998	246.138	0
	63	352.995	242.727	0
	64	352.989	239.294	0
	65	352.992	235.903	0
	66	352.991	232.503	0
	67	352.993	229.08	0
	68	352.999	225.673	0
	69	353.002	222.25	0
	70	352.996	218.858	0
	71	352.999	215.453	0
	72	353.001	211.999	0
	73	353.003	208.624	0
	74	352.999	205.194	0
	75	353.004	201.785	0
	76	353.008	198.399	0
	77	353.013	194.962	0
	78	353.019	191.57	0
	79	353.02	188.139	0
	80	353.024	184.743	0
	81	353.031	181.332	0
	82	353.035	177.925	0
	83	353.038	174.519	0
	84	353.042	171.068	0
	85	353.049	167.689	0
	86	353.051	164.297	0
	87	353.047	160.851	0
	88	353.051	157.475	0
	89	353.051	154.038	0
	90	353.055	150.628	0
	91	353.055	147.24	0
	92	353.061	143.797	0
	93	353.068	140.416	0
	94	353.069	137.001	0
	95	353.077	133.597	0
	96	353.083	130.179	0
	97	353.083	126.773	0
	98	353.078	123.387	0
	99	353.087	119.946	0
	100	353.08	116.561	0
	101	353.083	113.16	0
	102	353.076	109.73	0
	103	353.081	106.344	0
	104	353.087	102.898	0
	105	353.089	99.5139	0
	106	353.082	96.1313	0
	107	353.079	92.6897	0
	108	353.085	89.2856	0
	109	353.079	85.8733	0
	110	353.079	82.4862	0
	111	353.077	79.0587	0
	112	353.073	75.635	0
	113	353.065	72.2569	0
	114	353.065	68.8177	0
	115	353.07	65.4287	0
	116	353.077	62.0219	0
	117	353.083	58.5868	0
	118	353.089	55.2176	0

Scale
	Frame	X percent	Y percent	Z percent
	0	99.9128	99.9128	100
	1	99.9094	99.9094	100
	2	99.9076	99.9076	100
	3	99.9076	99.9076	100
	4	99.9172	99.9172	100
	5	99.9205	99.9205	100
	6	99.9313	99.9313	100
	7	99.9438	99.9438	100
	8	99.9413	99.9413	100
	9	99.9442	99.9442	100
	10	99.9559	99.9559	100
	11	99.9509	99.9509	100
	12	99.9524	99.9524	100
	13	99.9576	99.9576	100
	14	99.9672	99.9672	100
	15	99.9779	99.9779	100
	16	99.9777	99.9777	100
	17	99.978	99.978	100
	18	99.9748	99.9748	100
	19	99.9773	99.9773	100
	20	99.9778	99.9778	100
	21	99.973	99.973	100
	22	99.978	99.978	100
	23	99.9744	99.9744	100
	24	99.9724	99.9724	100
	25	99.9696	99.9696	100
	26	99.9718	99.9718	100
	27	99.9695	99.9695	100
	28	99.9729	99.9729	100
	29	99.9745	99.9745	100
	30	99.9736	99.9736	100
	31	99.9791	99.9791	100
	32	99.9846	99.9846	100
	33	99.9929	99.9929	100
	34	100.002	100.002	100
	35	100.01	100.01	100
	36	100.005	100.005	100
	37	100.005	100.005	100
	38	100.004	100.004	100
	39	100.01	100.01	100
	40	100.005	100.005	100
	41	100.012	100.012	100
	42	100.007	100.007	100
	43	100.004	100.004	100
	44	99.9998	99.9998	100
	45	100.003	100.003	100
	46	100.004	100.004	100
	47	100	100	100
	48	99.9992	99.9992	100
	49	99.9986	99.9986	100
	50	99.997	99.997	100
	51	99.9991	99.9991	100
	52	100.001	100.001	100
	53	99.9969	99.9969	100
	54	99.9974	99.9974	100
	55	99.9975	99.9975	100
	56	100	100	100
	57	100.005	100.005	100
	58	100.003	100.003	100
	59	100.001	100.001	100
	60	99.9969	99.9969	100
	61	99.9997	99.9997	100
	62	99.9964	99.9964	100
	63	99.9973	99.9973	100
	64	100.003	100.003	100
	65	99.9992	99.9992	100
	66	99.9984	99.9984	100
	67	99.9998	99.9998	100
	68	99.999	99.999	100
	69	100	100	100
	70	99.9986	99.9986	100
	71	100.001	100.001	100
	72	99.9982	99.9982	100
	73	100.001	100.001	100
	74	100.004	100.004	100
	75	100	100	100
	76	100.003	100.003	100
	77	99.9991	99.9991	100
	78	99.9974	99.9974	100
	79	100.001	100.001	100
	80	99.9973	99.9973	100
	81	100	100	100
	82	100.004	100.004	100
	83	100.003	100.003	100
	84	100.003	100.003	100
	85	100.005	100.005	100
	86	100.009	100.009	100
	87	100.006	100.006	100
	88	100.011	100.011	100
	89	100.014	100.014	100
	90	100.01	100.01	100
	91	100.009	100.009	100
	92	100.009	100.009	100
	93	100.007	100.007	100
	94	100.006	100.006	100
	95	100.003	100.003	100
	96	99.9945	99.9945	100
	97	99.9954	99.9954	100
	98	99.9964	99.9964	100
	99	99.9926	99.9926	100
	100	99.9834	99.9834	100
	101	99.991	99.991	100
	102	99.9882	99.9882	100
	103	99.9869	99.9869	100
	104	99.9831	99.9831	100
	105	99.972	99.972	100
	106	99.9722	99.9722	100
	107	99.9715	99.9715	100
	108	99.9619	99.9619	100
	109	99.9634	99.9634	100
	110	99.9642	99.9642	100
	111	99.9684	99.9684	100
	112	99.9676	99.9676	100
	113	99.9683	99.9683	100
	114	99.9715	99.9715	100
	115	99.9717	99.9717	100
	116	99.9724	99.9724	100
	117	99.9687	99.9687	100
	118	99.9687	99.9687	100

Rotation
	Frame	Degrees
	0	-0.0101624
	1	-0.00698393
	2	-0.00835504
	3	-0.00838495
	4	-0.00879507
	5	-0.00647646
	6	-0.0035818
	7	-0.00558266
	8	-0.00531926
	9	-0.00454392
	10	-0.00486918
	11	-0.00796622
	12	-0.00644739
	13	-0.00656384
	14	-0.00425982
	15	-0.00699606
	16	-0.00595417
	17	-0.00900003
	18	-0.00822423
	19	-0.00890889
	20	-0.0106604
	21	-0.00819396
	22	-0.00656347
	23	-0.0102425
	24	-0.009282
	25	-0.00847796
	26	-0.0117672
	27	-0.0128013
	28	-0.012658
	29	-0.0119557
	30	-0.0113784
	31	-0.0113557
	32	-0.00830861
	33	-0.0082221
	34	-0.00895218
	35	-0.00740804
	36	-0.00530248
	37	-0.00578124
	38	-0.00282054
	39	-0.00298945
	40	-0.00656918
	41	-0.00214397
	42	-0.00295762
	43	-0.00423388
	44	-0.00261949
	45	-0.00316181
	46	-0.00230037
	47	-0.00202601
	48	-0.00165588
	49	-0.00303101
	50	-0.00282691
	51	-0.0033469
	52	-0.00238337
	53	-0.00311093
	54	-0.00342353
	55	-0.00238976
	56	-0.00312688
	57	-0.00107204
	58	-0.0035288
	59	-0.0022653
	60	-0.0037394
	61	-0.00275672
	62	-0.00335017
	63	-0.00109759
	64	0.000593445
	65	-0.00212495
	66	-0.00119331
	67	-0.000606247
	68	-0.00145497
	69	-0.0018634
	70	-0.00298656
	71	-0.00081682
	72	-0.000548812
	73	-0.000529684
	74	-0.00114231
	75	-0.000759458
	76	-0.00129552
	77	-0.000548857
	78	0.000497809
	79	0.00146148
	80	-0.00149341
	81	0.000772224
	82	0.000753074
	83	0.000631809
	84	0.00162106
	85	-8.9349e-05
	86	0.00587802
	87	0.000912637
	88	0.00370167
	89	0.00257201
	90	0.00208062
